"species","latitude","longitude","date_obs","source"
"Impatiens glandulifera",47.43177,9.16761,2025-04-23,"gbif"
"Impatiens glandulifera",47.43426,9.15971,2025-04-23,"gbif"
"Impatiens glandulifera",47.43942,9.15756,2025-04-23,"gbif"
"Impatiens glandulifera",47.43621,9.16165,2025-04-23,"gbif"
"Impatiens glandulifera",47.42628,9.18275,2025-04-23,"gbif"
"Impatiens glandulifera",47.43293,9.1718,2025-04-23,"gbif"
"Impatiens glandulifera",47.42752,9.18311,2025-04-23,"gbif"
"Impatiens glandulifera",47.27235,7.97163,2025-04-28,"gbif"
"Impatiens glandulifera",47.27706,7.97832,2025-04-25,"gbif"
"Impatiens glandulifera",47.43814,9.15472,2025-04-23,"gbif"
"Impatiens glandulifera",47.43824,9.15645,2025-04-23,"gbif"
"Impatiens glandulifera",47.42642,9.18219,2025-04-23,"gbif"
"Impatiens glandulifera",47.42838,9.18055,2025-04-23,"gbif"
"Impatiens glandulifera",47.43744,9.16003,2025-04-23,"gbif"
"Impatiens glandulifera",47.42791,9.18122,2025-04-23,"gbif"
"Impatiens glandulifera",47.28244,7.96892,2025-04-25,"gbif"
"Impatiens glandulifera",47.43866,9.15528,2025-04-23,"gbif"
"Impatiens glandulifera",47.42852,9.18033,2025-04-23,"gbif"
"Impatiens glandulifera",47.43373,9.16042,2025-04-23,"gbif"
"Impatiens glandulifera",47.43764,9.16022,2025-04-23,"gbif"
"Impatiens glandulifera",47.43399,9.16633,2025-04-23,"gbif"
"Impatiens glandulifera",47.43628,9.16182,2025-04-23,"gbif"
"Impatiens glandulifera",47.27562,7.98119,2025-04-25,"gbif"
"Impatiens glandulifera",47.42726,9.18282,2025-04-23,"gbif"
"Impatiens glandulifera",47.2711,9.51673,2025-04-15,"gbif"
"Impatiens glandulifera",47.27077,7.96625,2025-04-28,"gbif"
"Impatiens glandulifera",47.27223,7.96539,2025-04-28,"gbif"
"Impatiens glandulifera",47.43925,9.15757,2025-04-23,"gbif"
"Impatiens glandulifera",47.43935,9.15712,2025-04-23,"gbif"
"Impatiens glandulifera",47.27905,7.97869,2025-04-25,"gbif"
"Impatiens glandulifera",47.4282,9.18095,2025-04-23,"gbif"
"Impatiens glandulifera",47.43682,9.15912,2025-04-23,"gbif"
"Impatiens glandulifera",47.43407,9.16779,2025-04-23,"gbif"
"Impatiens glandulifera",47.43575,9.16171,2025-04-23,"gbif"
"Impatiens glandulifera",47.43915,9.15811,2025-04-23,"gbif"
"Impatiens glandulifera",47.42798,9.18234,2025-04-23,"gbif"
"Impatiens glandulifera",47.42439,8.12609,2025-04-28,"gbif"
"Impatiens glandulifera",47.43161,9.17482,2025-04-23,"gbif"
"Impatiens glandulifera",47.27526,7.97554,2025-04-25,"gbif"
"Impatiens glandulifera",47.27072,7.9715,2025-04-28,"gbif"
"Impatiens glandulifera",47.27719,7.98591,2025-04-25,"gbif"
"Impatiens glandulifera",47.27344,7.96364,2025-04-28,"gbif"
"Impatiens glandulifera",47.27324,7.96915,2025-04-28,"gbif"
"Impatiens glandulifera",47.42804,9.18188,2025-04-23,"gbif"
"Impatiens glandulifera",47.4308,9.17251,2025-04-23,"gbif"
"Impatiens glandulifera",47.4349,9.16142,2025-04-23,"gbif"
"Impatiens glandulifera",47.28936,7.96187,2025-04-25,"gbif"
"Impatiens glandulifera",47.29147,7.96268,2025-04-25,"gbif"
"Impatiens glandulifera",47.27462,7.96142,2025-04-28,"gbif"
"Impatiens glandulifera",47.28167,7.98359,2025-04-25,"gbif"
"Impatiens glandulifera",47.28319,7.96826,2025-04-25,"gbif"
"Impatiens glandulifera",47.42661,9.18183,2025-04-23,"gbif"
"Impatiens glandulifera",47.43422,9.15984,2025-04-23,"gbif"
"Impatiens glandulifera",47.43726,9.15969,2025-04-23,"gbif"
"Impatiens glandulifera",47.43366,9.15947,2025-04-23,"gbif"
"Impatiens glandulifera",47.42756,9.18236,2025-04-23,"gbif"
"Impatiens glandulifera",47.4392,9.15585,2025-04-23,"gbif"
"Impatiens glandulifera",47.28679,7.9606,2025-04-25,"gbif"
"Impatiens glandulifera",47.43814,9.15436,2025-04-23,"gbif"
"Impatiens glandulifera",47.428,9.1827,2025-04-23,"gbif"
"Impatiens glandulifera",47.43384,9.16056,2025-04-23,"gbif"
"Impatiens glandulifera",47.43872,9.15374,2025-04-23,"gbif"
"Impatiens glandulifera",47.433,9.17137,2025-04-23,"gbif"
"Impatiens glandulifera",47.4266,9.18228,2025-04-23,"gbif"
"Impatiens glandulifera",47.30393,8.07227,2025-04-28,"gbif"
"Impatiens glandulifera",47.27394,7.96847,2025-04-28,"gbif"
"Impatiens glandulifera",47.27085,7.97714,2025-04-28,"gbif"
"Impatiens glandulifera",47.29063,7.96014,2025-04-25,"gbif"
"Impatiens glandulifera",47.42947,9.17805,2025-04-23,"gbif"
"Impatiens glandulifera",47.43414,9.16042,2025-04-23,"gbif"
"Impatiens glandulifera",47.43793,9.159,2025-04-23,"gbif"
